NUMBER,OUTTLET_ID,TERRITORY,DISTRICT,ROUTE,SALESMAN_ID,SALESMAN_ID,PEMBELIAN,STOK,RETUR,PACK DISPLAY,SKU,,,,,,,,,,
25,LP010101025,1,1,1,SPV001,TMC001,2587500,162600,87600,26,5,,,,,,,,,,
26,LP010101026,1,1,1,SPV001,TMC001,1812300,301100,88600,86,5,,,,,,,,,,
27,LP010101027,1,1,1,SPV001,TMC001,2879300,162600,32300,36,6,,,,,,,,,,
28,LP010101028,1,1,1,SPV001,TMC001,1026300,180300,72400,48,14,,,,,,,,,,
29,LP010101029,1,1,1,SPV001,TMC001,929800,111700,57900,29,6,,,,,,,,,,
30,LP010101030,1,1,1,SPV001,TMC001,1069800,271800,30700,63,7,,,,,,,,,,
31,LP010101031,1,1,1,SPV001,TMC001,2242900,215200,56500,87,13,,,,,,,,,,
32,LP010101032,1,1,1,SPV001,TMC001,2379900,177100,94500,65,12,,,,,,,,,,
33,LP010101033,1,1,1,SPV001,TMC001,902800,113900,58600,55,12,,,,,,,,,,
34,LP010101034,1,1,1,SPV001,TMC001,2858100,89900,63900,25,3,,,,,,,,,,
35,LP010101035,1,1,1,SPV001,TMC001,2090500,251700,76900,86,11,,,,,,,,,,
36,LP010101036,1,1,1,SPV001,TMC001,2765600,84100,47600,58,15,,,,,,,,,,
37,LP010102037,1,1,2,SPV001,TMC001,1673200,122700,50500,68,12,,,,,,,,,,
38,LP010102038,1,1,2,SPV001,TMC001,2233400,255300,65300,99,7,,,,,,,,,,
39,LP010102039,1,1,2,SPV001,TMC001,927200,298500,56800,85,13,,,,,,,,,,
40,LP010102040,1,1,2,SPV001,TMC001,1864600,217500,102900,54,11,,,,,,,,,,
41,LP010102041,1,1,2,SPV001,TMC001,2308800,211600,92600,35,11,,,,,,,,,,
42,LP010102042,1,1,2,SPV001,TMC001,1860700,179100,31700,59,3,,,,,,,,,,
43,LP010102043,1,1,2,SPV001,TMC001,2996600,154700,96300,85,6,,,,,,,,,,
44,LP010102044,1,1,2,SPV001,TMC001,2003800,150200,104400,32,11,,,,,,,,,,
45,LP010102045,1,1,2,SPV001,TMC001,1701600,248200,29800,67,7,,,,,,,,,,
46,LP010102046,1,1,2,SPV001,TMC001,1346300,275200,74400,34,13,,,,,,,,,,
47,LP010102047,1,1,2,SPV001,TMC001,2919400,230900,97600,95,8,,,,,,,,,,
48,LP010102048,1,1,2,SPV001,TMC001,2550600,214800,44300,85,4,,,,,,,,,,
49,LP010102049,1,1,2,SPV001,TMC001,971600,279900,100200,92,10,,,,,,,,,,
50,LP010102050,1,1,2,SPV001,TMC001,1826000,98700,61200,67,8,,,,,,,,,,
51,LP010102051,1,1,2,SPV001,TMC001,1188300,253300,79700,41,11,,,,,,,,,,
52,LP010102052,1,1,2,SPV001,TMC001,829900,205400,54700,40,3,,,,,,,,,,
53,LP010102053,1,1,2,SPV001,TMC001,2280600,229500,74900,95,10,,,,,,,,,,
54,LP010102054,1,1,2,SPV001,TMC001,1350900,193700,89600,85,10,,,,,,,,,,
55,LP010102055,1,1,2,SPV001,TMC001,1848900,144400,29100,67,9,,,,,,,,,,
56,LP010102056,1,1,2,SPV001,TMC001,1894800,229300,74400,95,4,,,,,,,,,,
57,LP010102057,1,1,2,SPV001,TMC001,1463200,93100,33900,94,11,,,,,,,,,,
58,LP010102058,1,1,2,SPV001,TMC001,1568000,178500,51100,71,13,,,,,,,,,,
59,LP010102059,1,1,2,SPV001,TMC001,2089400,107300,42200,29,4,,,,,,,,,,
60,LP010102060,1,1,2,SPV001,TMC001,1169900,199200,74400,36,7,,,,,,,,,,
61,LP010102061,1,1,2,SPV001,TMC001,1999800,148900,31300,38,4,,,,,,,,,,
62,LP010102062,1,1,2,SPV001,TMC001,891400,81700,45400,63,14,,,,,,,,,,
63,LP010102063,1,1,2,SPV001,TMC001,1199100,287200,42600,86,15,,,,,,,,,,
64,LP010102064,1,1,2,SPV001,TMC001,2387800,170200,99200,62,12,,,,,,,,,,
65,LP010102065,1,1,2,SPV001,TMC001,2681000,106900,89100,28,6,,,,,,,,,,
66,LP010102066,1,1,2,SPV001,TMC001,795900,143000,98100,67,5,,,,,,,,,,
67,LP010102067,1,1,2,SPV001,TMC001,3006200,133000,68000,93,11,,,,,,,,,,
68,LP010102068,1,1,2,SPV001,TMC001,1975700,103300,73200,43,11,,,,,,,,,,
69,LP010102069,1,1,2,SPV001,TMC001,2572800,175100,73500,99,9,,,,,,,,,,
70,LP010102070,1,1,2,SPV001,TMC001,2583700,107900,67900,47,14,,,,,,,,,,
71,LP010103071,1,1,3,SPV001,TMC001,1890900,208300,69100,32,12,,,,,,,,,,
72,LP010103072,1,1,3,SPV001,TMC001,830500,302000,93500,27,11,,,,,,,,,,
73,LP010103073,1,1,3,SPV001,TMC001,2199300,301800,85900,54,7,,,,,,,,,,
74,LP010103074,1,1,3,SPV001,TMC001,2114700,247000,83400,76,12,,,,,,,,,,
75,LP010103075,1,1,3,SPV001,TMC001,1432300,203800,53200,79,12,,,,,,,,,,
76,LP010103076,1,1,3,SPV001,TMC001,1488200,283700,71100,28,14,,,,,,,,,,
77,LP010103077,1,1,3,SPV001,TMC001,1013200,294900,34100,75,5,,,,,,,,,,
78,LP010103078,1,1,3,SPV001,TMC001,2676200,243700,91000,54,13,,,,,,,,,,
79,LP010103079,1,1,3,SPV001,TMC001,2719900,142400,67200,51,3,,,,,,,,,,
80,LP010103080,1,1,3,SPV001,TMC001,2225200,275200,64200,47,14,,,,,,,,,,
81,LP010103081,1,1,3,SPV001,TMC001,2741200,118800,67100,29,14,,,,,,,,,,
82,LP010103082,1,1,3,SPV001,TMC001,2168400,105700,57200,42,11,,,,,,,,,,
83,LP010103083,1,1,3,SPV001,TMC001,2615600,137300,87300,45,11,,,,,,,,,,
84,LP010103084,1,1,3,SPV001,TMC001,2459700,198500,70300,94,8,,,,,,,,,,
85,LP010103085,1,1,3,SPV001,TMC001,1908400,202600,98800,95,3,,,,,,,,,,
86,LP010103086,1,1,3,SPV001,TMC001,2885700,302000,78700,45,10,,,,,,,,,,
87,LP010103087,1,1,3,SPV001,TMC001,2489700,195900,80700,44,10,,,,,,,,,,
88,LP010103088,1,1,3,SPV001,TMC001,2488100,151400,68900,67,12,,,,,,,,,,
89,LP010103089,1,1,3,SPV001,TMC001,1609400,111700,80500,43,6,,,,,,,,,,
90,LP010103090,1,1,3,SPV001,TMC001,1388600,282300,72000,35,3,,,,,,,,,,
91,LP010103091,1,1,3,SPV001,TMC001,1092500,274800,70800,61,3,,,,,,,,,,
92,LP010103092,1,1,3,SPV001,TMC001,2516900,143200,79800,30,8,,,,,,,,,,
93,LP010103093,1,1,3,SPV001,TMC001,2588200,248200,87700,97,11,,,,,,,,,,
94,LP010103094,1,1,3,SPV001,TMC001,1919200,255800,80200,88,13,,,,,,,,,,
95,LP010103095,1,1,3,SPV001,TMC001,2240900,144300,65400,61,14,,,,,,,,,,
96,LP010103096,1,1,3,SPV001,TMC001,2731600,117000,60100,44,10,,,,,,,,,,
97,LP010103097,1,1,3,SPV001,TMC001,2852000,215200,94800,89,15,,,,,,,,,,
98,LP010103098,1,1,3,SPV001,TMC001,2916300,138400,54100,64,5,,,,,,,,,,
99,LP010103099,1,1,3,SPV001,TMC001,1025700,94400,60100,67,15,,,,,,,,,,
100,LP010103100,1,1,3,SPV001,TMC001,1686900,178800,60800,86,15,,,,,,,,,,
101,LP010104101,1,1,4,SPV001,TMC001,835200,295600,49800,56,15,,,,,,,,,,
102,LP010104102,1,1,4,SPV001,TMC001,1362700,134200,67500,82,13,,,,,,,,,,
103,LP010104103,1,1,4,SPV001,TMC001,1402000,219500,73500,45,9,,,,,,,,,,
104,LP010104104,1,1,4,SPV001,TMC001,2667400,182500,28000,98,11,,,,,,,,,,
105,LP010104105,1,1,4,SPV001,TMC001,2139000,283500,96200,30,4,,,,,,,,,,
106,LP010104106,1,1,4,SPV001,TMC001,2485600,113100,66100,51,10,,,,,,,,,,
107,LP010104107,1,1,4,SPV001,TMC001,1787600,93900,29400,50,10,,,,,,,,,,
108,LP010104108,1,1,4,SPV001,TMC001,1219900,305000,55100,66,9,,,,,,,,,,
109,LP010104109,1,1,4,SPV001,TMC001,1933800,222000,81200,25,14,,,,,,,,,,
110,LP010104110,1,1,4,SPV001,TMC001,1719600,172100,61200,56,5,,,,,,,,,,
111,LP010104111,1,1,4,SPV001,TMC001,1030500,153600,58400,44,4,,,,,,,,,,
112,LP010104112,1,1,4,SPV001,TMC001,2933500,107800,103700,57,11,,,,,,,,,,
113,LP010104113,1,1,4,SPV001,TMC001,2374900,275600,92400,68,11,,,,,,,,,,
114,LP010104114,1,1,4,SPV001,TMC001,2569000,191000,42400,76,15,,,,,,,,,,
115,LP010104115,1,1,4,SPV001,TMC001,1182900,192800,37100,51,13,,,,,,,,,,
116,LP010104116,1,1,4,SPV001,TMC001,1635500,97300,56200,81,14,,,,,,,,,,
117,LP010104117,1,1,4,SPV001,TMC001,898200,274000,51500,27,12,,,,,,,,,,
118,LP010104118,1,1,4,SPV001,TMC001,1694800,123900,50300,49,7,,,,,,,,,,
119,LP010104119,1,1,4,SPV001,TMC001,1652200,243600,69800,27,10,,,,,,,,,,
120,LP010104120,1,1,4,SPV001,TMC001,2572700,254500,94900,48,13,,,,,,,,,,
121,LP010104121,1,1,4,SPV001,TMC001,3005900,209600,49900,63,14,,,,,,,,,,
122,LP010104122,1,1,4,SPV001,TMC001,1054400,160600,60200,72,3,,,,,,,,,,
123,LP010104123,1,1,4,SPV001,TMC001,1461600,90600,61800,39,4,,,,,,,,,,
124,LP010104124,1,1,4,SPV001,TMC001,1129200,201000,65500,30,9,,,,,,,,,,
125,LP010104125,1,1,4,SPV001,TMC001,1090100,135100,88100,91,13,,,,,,,,,,
126,LP010104126,1,1,4,SPV001,TMC001,2397000,156700,100200,100,4,,,,,,,,,,
127,LP010104127,1,1,4,SPV001,TMC001,1405100,185400,32000,73,7,,,,,,,,,,
128,LP010104128,1,1,4,SPV001,TMC001,1343600,94700,54200,40,4,,,,,,,,,,
129,LP010104129,1,1,4,SPV001,TMC001,2183600,269200,66800,26,15,,,,,,,,,,
130,LP010104130,1,1,4,SPV001,TMC001,1609100,122400,89000,100,7,,,,,,,,,,
131,LP010104131,1,1,4,SPV001,TMC001,2117600,214400,90300,32,14,,,,,,,,,,
132,LP010104132,1,1,4,SPV001,TMC001,826500,182800,104200,58,6,,,,,,,,,,
133,LP010104133,1,1,4,SPV001,TMC001,944600,230400,95200,44,3,,,,,,,,,,
134,LP010104134,1,1,4,SPV001,TMC001,1709900,91300,32900,51,4,,,,,,,,,,
135,LP010104135,1,1,4,SPV001,TMC001,1024800,217800,48300,75,10,,,,,,,,,,
136,LP010104136,1,1,4,SPV001,TMC001,2402100,154300,34900,92,13,,,,,,,,,,
137,LP010104137,1,1,4,SPV001,TMC001,1052400,132900,76500,85,13,,,,,,,,,,
138,LP010104138,1,1,4,SPV001,TMC001,1099200,223700,33800,28,4,,,,,,,,,,
139,LP010104139,1,1,4,SPV001,TMC001,2048300,259900,98200,62,8,,,,,,,,,,
140,LP010104140,1,1,4,SPV001,TMC001,2617400,222500,54400,82,4,,,,,,,,,,
141,LP010105141,1,1,5,SPV001,TMC001,1147800,189800,103400,68,3,,,,,,,,,,
142,LP010105142,1,1,5,SPV001,TMC001,2039800,256800,59800,46,4,,,,,,,,,,
143,LP010105143,1,1,5,SPV001,TMC001,2710500,207700,31600,27,8,,,,,,,,,,
144,LP010105144,1,1,5,SPV001,TMC001,1392800,226300,77900,53,7,,,,,,,,,,
145,LP010105145,1,1,5,SPV001,TMC001,1636300,295400,75800,93,8,,,,,,,,,,
146,LP010105146,1,1,5,SPV001,TMC001,1212900,154200,60900,84,11,,,,,,,,,,
147,LP010105147,1,1,5,SPV001,TMC001,2526400,291100,51800,98,11,,,,,,,,,,
148,LP010105148,1,1,5,SPV001,TMC001,1269400,131600,63000,26,3,,,,,,,,,,
149,LP010105149,1,1,5,SPV001,TMC001,2733800,279800,34300,52,15,,,,,,,,,,
150,LP010105150,1,1,5,SPV001,TMC001,2765100,137500,70400,99,14,,,,,,,,,,
151,LP010105151,1,1,5,SPV001,TMC001,1474800,227300,81300,94,9,,,,,,,,,,
152,LP010105152,1,1,5,SPV001,TMC001,1017500,123900,88500,75,15,,,,,,,,,,
153,LP010105153,1,1,5,SPV001,TMC001,1164800,229300,42500,89,10,,,,,,,,,,
154,LP010105154,1,1,5,SPV001,TMC001,2168600,207700,31800,29,4,,,,,,,,,,
155,LP010105155,1,1,5,SPV001,TMC001,2011500,127600,73000,57,10,,,,,,,,,,
156,LP010105156,1,1,5,SPV001,TMC001,1015200,105500,53800,91,6,,,,,,,,,,
157,LP010105157,1,1,5,SPV001,TMC001,2902800,253200,49500,67,10,,,,,,,,,,
158,LP010105158,1,1,5,SPV001,TMC001,1983500,208200,58000,76,11,,,,,,,,,,
159,LP010105159,1,1,5,SPV001,TMC001,1416500,228600,64500,60,6,,,,,,,,,,
160,LP010105160,1,1,5,SPV001,TMC001,2124300,174500,93700,83,5,,,,,,,,,,
161,LP010105161,1,1,5,SPV001,TMC001,1182800,290700,74700,87,6,,,,,,,,,,
162,LP010105162,1,1,5,SPV001,TMC001,1912900,174200,99900,77,4,,,,,,,,,,
163,LP010105163,1,1,5,SPV001,TMC001,1005700,97200,40900,75,8,,,,,,,,,,
164,LP010105164,1,1,5,SPV001,TMC001,2991800,233100,67400,42,8,,,,,,,,,,
165,LP010105165,1,1,5,SPV001,TMC001,911100,265400,79100,82,5,,,,,,,,,,
166,LP010105166,1,1,5,SPV001,TMC001,916000,131000,72700,62,14,,,,,,,,,,
167,LP010105167,1,1,5,SPV001,TMC001,1851300,83000,77300,94,14,,,,,,,,,,
168,LP010105168,1,1,5,SPV001,TMC001,1389200,84500,89300,100,11,,,,,,,,,,
169,LP010105169,1,1,5,SPV001,TMC001,2609400,271500,47300,46,7,,,,,,,,,,
170,LP010105170,1,1,5,SPV001,TMC001,2868800,134500,73900,67,15,,,,,,,,,,
171,LP010105171,1,1,5,SPV001,TMC001,1060200,225100,74300,49,6,,,,,,,,,,
172,LP010105172,1,1,5,SPV001,TMC001,1195700,81700,50100,76,10,,,,,,,,,,
173,LP010105173,1,1,5,SPV001,TMC001,1900600,94400,28100,51,12,,,,,,,,,,
174,LP010105174,1,1,5,SPV001,TMC001,2457900,205400,96200,98,10,,,,,,,,,,
175,LP010105175,1,1,5,SPV001,TMC001,1433800,279000,86600,40,3,,,,,,,,,,
176,LP010105176,1,1,5,SPV001,TMC001,1433600,141400,30000,51,3,,,,,,,,,,
177,LP010105177,1,1,5,SPV001,TMC001,1615600,199500,94000,70,5,,,,,,,,,,
178,LP010105178,1,1,5,SPV001,TMC001,1688700,90500,89200,46,9,,,,,,,,,,
179,LP010105179,1,1,5,SPV001,TMC001,1000000,218200,90000,37,15,,,,,,,,,,
180,LP010105180,1,1,5,SPV001,TMC001,1947600,121600,89400,90,10,,,,,,,,,,
181,LP010106181,1,1,6,SPV001,TMC001,2299700,222200,96200,44,3,,,,,,,,,,
182,LP010106182,1,1,6,SPV001,TMC001,1028300,218400,40000,91,14,,,,,,,,,,
183,LP010106183,1,1,6,SPV001,TMC001,2258500,119700,44600,57,13,,,,,,,,,,
184,LP010106184,1,1,6,SPV001,TMC001,1469700,277300,51200,98,8,,,,,,,,,,
185,LP010106185,1,1,6,SPV001,TMC001,2478400,190000,53200,100,6,,,,,,,,,,
186,LP010106186,1,1,6,SPV001,TMC001,2299400,252700,104000,73,6,,,,,,,,,,
187,LP010106187,1,1,6,SPV001,TMC001,1042100,216900,80300,68,10,,,,,,,,,,
188,LP010106188,1,1,6,SPV001,TMC001,1697200,113600,71300,44,4,,,,,,,,,,
189,LP010106189,1,1,6,SPV001,TMC001,1169900,115100,32500,69,5,,,,,,,,,,
190,LP010106190,1,1,6,SPV001,TMC001,2770300,189700,38500,90,11,,,,,,,,,,
191,LP010106191,1,1,6,SPV001,TMC001,847200,246600,57400,85,7,,,,,,,,,,
192,LP010106192,1,1,6,SPV001,TMC001,1585600,290900,62900,68,14,,,,,,,,,,
193,LP010106193,1,1,6,SPV001,TMC001,2063500,276400,103000,86,7,,,,,,,,,,
194,LP010106194,1,1,6,SPV001,TMC001,1298100,85900,49300,29,6,,,,,,,,,,
1,LP010201001,1,2,1,SPV001,TMC002,2917700,131800,35000,83,9,,,,,,,,,,
2,LP010201002,1,2,1,SPV001,TMC002,2612600,185500,43600,98,12,,,,,,,,,,
3,LP010201003,1,2,1,SPV001,TMC002,2194700,249800,94600,88,3,,,,,,,,,,
4,LP010201004,1,2,1,SPV001,TMC002,1978100,116200,84300,71,4,,,,,,,,,,
5,LP010201005,1,2,1,SPV001,TMC002,1829300,224300,86200,29,10,,,,,,,,,,
6,LP010201006,1,2,1,SPV001,TMC002,1999100,233100,30400,98,10,,,,,,,,,,
7,LP010201007,1,2,1,SPV001,TMC002,2571400,93900,45500,31,15,,,,,,,,,,
8,LP010201008,1,2,1,SPV001,TMC002,2465800,232100,76400,30,14,,,,,,,,,,
9,LP010201009,1,2,1,SPV001,TMC002,1596700,264600,101800,61,15,,,,,,,,,,
10,LP010201010,1,2,1,SPV001,TMC002,1699200,120600,106000,97,7,,,,,,,,,,
11,LP010201011,1,2,1,SPV001,TMC002,1419700,227000,71100,74,10,,,,,,,,,,
12,LP010201012,1,2,1,SPV001,TMC002,1695900,187300,75800,59,4,,,,,,,,,,
13,LP010201013,1,2,1,SPV001,TMC002,768700,104200,46000,38,11,,,,,,,,,,
14,LP010201014,1,2,1,SPV001,TMC002,1608900,150000,92400,60,3,,,,,,,,,,
15,LP010201015,1,2,1,SPV001,TMC002,2833800,108900,94100,52,3,,,,,,,,,,
16,LP010201016,1,2,1,SPV001,TMC002,2533100,268600,63200,69,7,,,,,,,,,,
17,LP010201017,1,2,1,SPV001,TMC002,1671300,281100,53300,86,7,,,,,,,,,,
18,LP010201018,1,2,1,SPV001,TMC002,2308100,89200,96300,70,3,,,,,,,,,,
19,LP010201019,1,2,1,SPV001,TMC002,925800,168800,33400,26,8,,,,,,,,,,
20,LP010201020,1,2,1,SPV001,TMC002,835800,269700,47700,92,12,,,,,,,,,,
21,LP010201021,1,2,1,SPV001,TMC002,1368400,288400,95500,51,6,,,,,,,,,,
22,LP010201022,1,2,1,SPV001,TMC002,2993400,213100,72100,36,15,,,,,,,,,,
23,LP010201023,1,2,1,SPV001,TMC002,2433100,112200,38300,57,14,,,,,,,,,,
24,LP010201024,1,2,1,SPV001,TMC002,1763300,87800,58100,38,3,,,,,,,,,,
25,LP010201025,1,2,1,SPV001,TMC002,2500200,293800,72100,80,15,,,,,,,,,,
26,LP010201026,1,2,1,SPV001,TMC002,1101200,164500,32900,60,15,,,,,,,,,,
27,LP010201027,1,2,1,SPV001,TMC002,1289300,90400,57000,94,9,,,,,,,,,,
28,LP010201028,1,2,1,SPV001,TMC002,1036200,180400,88600,96,9,,,,,,,,,,
29,LP010201029,1,2,1,SPV001,TMC002,2787600,303700,105200,63,6,,,,,,,,,,
30,LP010201030,1,2,1,SPV001,TMC002,820900,282400,30800,65,13,,,,,,,,,,
31,LP010201031,1,2,1,SPV001,TMC002,1006700,300900,31300,73,15,,,,,,,,,,
32,LP010201032,1,2,1,SPV001,TMC002,2562200,225700,98600,44,9,,,,,,,,,,
33,LP010201033,1,2,1,SPV001,TMC002,2974100,256200,61200,58,10,,,,,,,,,,
34,LP010201034,1,2,1,SPV001,TMC002,1964000,203800,29200,62,3,,,,,,,,,,
35,LP010201035,1,2,1,SPV001,TMC002,1099200,265400,96900,54,5,,,,,,,,,,
36,LP010201036,1,2,1,SPV001,TMC002,1574500,105000,47100,72,6,,,,,,,,,,
37,LP010201037,1,2,1,SPV001,TMC002,1599400,248600,53200,73,14,,,,,,,,,,
38,LP010201038,1,2,1,SPV001,TMC002,1453900,233300,66500,80,15,,,,,,,,,,
39,LP010201039,1,2,1,SPV001,TMC002,1427400,139100,50600,81,6,,,,,,,,,,
40,LP010201040,1,2,1,SPV001,TMC002,2909600,223900,34800,84,11,,,,,,,,,,
41,LP010201041,1,2,1,SPV001,TMC002,1495400,238100,67400,65,7,,,,,,,,,,
42,LP010202042,1,2,2,SPV001,TMC002,938000,151400,51200,89,15,,,,,,,,,,
43,LP010202043,1,2,2,SPV001,TMC002,1671900,173800,99600,38,14,,,,,,,,,,
44,LP010202044,1,2,2,SPV001,TMC002,2369500,87400,81000,85,9,,,,,,,,,,
45,LP010202045,1,2,2,SPV001,TMC002,2887600,85000,39000,90,3,,,,,,,,,,
46,LP010202046,1,2,2,SPV001,TMC002,1512300,224700,94900,54,15,,,,,,,,,,
47,LP010202047,1,2,2,SPV001,TMC002,997400,285100,93400,90,15,,,,,,,,,,
48,LP010202048,1,2,2,SPV001,TMC002,984100,242900,35300,57,11,,,,,,,,,,
49,LP010202049,1,2,2,SPV001,TMC002,2359700,265400,79700,94,3,,,,,,,,,,
50,LP010202050,1,2,2,SPV001,TMC002,2361200,219300,84300,90,8,,,,,,,,,,
51,LP010202051,1,2,2,SPV001,TMC002,1258300,299800,63900,39,4,,,,,,,,,,
52,LP010202052,1,2,2,SPV001,TMC002,1289600,255300,91900,72,6,,,,,,,,,,
53,LP010202053,1,2,2,SPV001,TMC002,2864500,223400,91900,68,10,,,,,,,,,,
54,LP010202054,1,2,2,SPV001,TMC002,2838400,114000,84000,38,3,,,,,,,,,,
55,LP010202055,1,2,2,SPV001,TMC002,1389200,112200,45000,80,7,,,,,,,,,,
56,LP010202056,1,2,2,SPV001,TMC002,1868100,297300,65900,95,11,,,,,,,,,,
57,LP010202057,1,2,2,SPV001,TMC002,805500,250500,93800,84,12,,,,,,,,,,
58,LP010202058,1,2,2,SPV001,TMC002,2078600,221500,52500,48,7,,,,,,,,,,
59,LP010202059,1,2,2,SPV001,TMC002,2896500,123600,52700,78,3,,,,,,,,,,
60,LP010202060,1,2,2,SPV001,TMC002,2377700,223200,102000,49,12,,,,,,,,,,
61,LP010202061,1,2,2,SPV001,TMC002,2446400,151600,50400,42,4,,,,,,,,,,
62,LP010202062,1,2,2,SPV001,TMC002,783400,158400,59900,66,10,,,,,,,,,,
63,LP010202063,1,2,2,SPV001,TMC002,2104600,187500,36100,45,12,,,,,,,,,,
64,LP010202064,1,2,2,SPV001,TMC002,2296200,217400,99600,55,11,,,,,,,,,,
65,LP010202065,1,2,2,SPV001,TMC002,1401500,249500,103300,63,14,,,,,,,,,,
66,LP010202066,1,2,2,SPV001,TMC002,1038600,192600,33500,89,14,,,,,,,,,,
67,LP010202067,1,2,2,SPV001,TMC002,2275300,265100,42400,35,8,,,,,,,,,,
68,LP010202068,1,2,2,SPV001,TMC002,769700,96400,99800,100,5,,,,,,,,,,
69,LP010202069,1,2,2,SPV001,TMC002,1793800,260700,80800,60,4,,,,,,,,,,
70,LP010202070,1,2,2,SPV001,TMC002,1558900,163500,97200,75,4,,,,,,,,,,
71,LP010202071,1,2,2,SPV001,TMC002,2361400,228300,65300,62,5,,,,,,,,,,
72,LP010202072,1,2,2,SPV001,TMC002,2855200,238700,46100,86,7,,,,,,,,,,
73,LP010202073,1,2,2,SPV001,TMC002,2141300,150100,86400,61,10,,,,,,,,,,
74,LP010202074,1,2,2,SPV001,TMC002,883300,274700,79900,70,11,,,,,,,,,,
75,LP010202075,1,2,2,SPV001,TMC002,2695700,273400,95400,66,7,,,,,,,,,,
76,LP010202076,1,2,2,SPV001,TMC002,2073100,105900,65500,37,10,,,,,,,,,,
77,LP010202077,1,2,2,SPV001,TMC002,1607900,117400,47100,55,13,,,,,,,,,,
78,LP010202078,1,2,2,SPV001,TMC002,1455000,118800,74800,83,14,,,,,,,,,,
79,LP010202079,1,2,2,SPV001,TMC002,1327800,268200,91400,40,13,,,,,,,,,,
80,LP010202080,1,2,2,SPV001,TMC002,1465500,241600,105400,59,8,,,,,,,,,,
81,LP010202081,1,2,2,SPV001,TMC002,2523300,217700,33700,40,14,,,,,,,,,,
82,LP010203082,1,2,3,SPV001,TMC002,2378100,107100,47600,65,6,,,,,,,,,,
83,LP010203083,1,2,3,SPV001,TMC002,1246900,274200,53200,42,5,,,,,,,,,,
84,LP010203084,1,2,3,SPV001,TMC002,865200,277000,86100,89,15,,,,,,,,,,
85,LP010203085,1,2,3,SPV001,TMC002,1732900,277000,54100,47,8,,,,,,,,,,
86,LP010203086,1,2,3,SPV001,TMC002,2427000,227900,41600,37,7,,,,,,,,,,
87,LP010203087,1,2,3,SPV001,TMC002,2962800,221800,99500,44,15,,,,,,,,,,
88,LP010203088,1,2,3,SPV001,TMC002,2985800,146300,88100,79,10,,,,,,,,,,
89,LP010203089,1,2,3,SPV001,TMC002,1558000,154000,74400,41,10,,,,,,,,,,
90,LP010203090,1,2,3,SPV001,TMC002,948800,189600,33900,80,10,,,,,,,,,,
91,LP010203091,1,2,3,SPV001,TMC002,2940400,96600,30900,81,12,,,,,,,,,,
92,LP010203092,1,2,3,SPV001,TMC002,906100,195100,98100,44,5,,,,,,,,,,
93,LP010203093,1,2,3,SPV001,TMC002,1226800,91500,97500,69,5,,,,,,,,,,
94,LP010203094,1,2,3,SPV001,TMC002,1581900,108000,71700,86,13,,,,,,,,,,
