NUMBER,OUTTLET_ID,OUTLET_NAME,REG_CODE,TERRITORY,DISTRICT,ROUTE,SALESMAN_ID,SALESMAN_ID,KABUPATEN,KECAMATAN,KELURAHAN,COVERAGE_STATUS,OWNER_NAME,OUTLET_TYPE,TYPE_KAWASAN,TIPE_BANGUNAN,POSISI,UNIT_DISPLAY,TIPE_SHOPBLIND
17,LP010101017,INTAN,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,INTAN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
18,LP010101018,LUTFI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,LUTFI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
19,LP010101019,MADE SUMAR,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,MADE SUMAR,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
20,LP010101020,MASNI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,MASNI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
21,LP010101021,MBAH KASNO,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,MBAH KASNO,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,BELUM ADA,BIG
22,LP010101022,MUSFIROH,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,MUSFIROH,TOKO,PEMUKIMAN [PMK],Permanen,PEREMPATAN,OUTLET,BIG
23,LP010101023,R . D,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,R . D,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
24,LP010101024,REZA,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,REZA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
25,LP010101025,RIZAL,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,RIZAL,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
26,LP010101026,RUDI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,RUDI,TOKO,NON-KAWASAN [NKW],Tidak Permanen,SEJAJAR JALAN,OUTLET,SMALL
27,LP010101027,RUMSIAH,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,RUMSIAH,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
28,LP010101028,SAMRIN,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,SAMRIN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
29,LP010101029,SHINTA,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,SHINTA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
30,LP010101030,SITI. 1,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,SITI. 1,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
31,LP010101031,SITI. 2,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,SITI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
32,LP010101032,SULIS,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,SULIS,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
33,LP010101033,SUMIYATI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,SUMIYATI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
34,LP010101034,TINA,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,TINA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
35,LP010101035,TUMI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,TUMI,TOKO,PEMUKIMAN [PMK],Tidak Permanen,SEJAJAR JALAN,OUTLET,SMALL
36,LP010101036,TUTI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,TUTI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
37,LP010102037,ABU,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,ABU,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
38,LP010102038,AHMAD,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,AHMAD,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR,BIG
39,LP010102039,ALEX,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,ALEX,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,SMALL
40,LP010102040,ARMANDO/ABARA,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,ARMANDO,TOKO,REST AREA/SPBU [RST],Permanen,SEJAJAR JALAN,OUTLET,BIG
41,LP010102041,BAIHAKI,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,BAIHAKI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
42,LP010102042,DEWI,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,DEWI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
43,LP010102043,EGA,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,EGA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
44,LP010102044,ENDUK,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,ENDUK,TOKO,REST AREA/SPBU [RST],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
45,LP010102045,GIBRAN,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,GIBRAN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
46,LP010102046,HALOHO,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,HALOHO,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
47,LP010102047,IBU UPIK,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,IBU UPIK,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
48,LP010102048,JESICA,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,JESICA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
49,LP010102049,KAMSARI,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,kamsari,TOKO,PEMUKIMAN [PMK],Permanen,TUSUK SATE,KOMPETITOR,SMALL
50,LP010102050,KANTIN SPBU,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,KANTIN SPBU,TOKO,REST AREA/SPBU [RST],Permanen,SEJAJAR JALAN,OUTLET,BIG
51,LP010102051,KENCANA STUDIO,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,KENCANA,TOKO,REST AREA/SPBU [RST],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,SMALL
52,LP010102052,LUBIS,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,LUBIS,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,SMALL
53,LP010102053,M. IDRIS,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,M. IDRIS,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
54,LP010102054,NENDI/NAZWA,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,NENDI,TOKO,PERKANTORAN [PKT],Permanen,SEJAJAR JALAN,OUTLET,BIG
55,LP010102055,NOVENA,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,NOVENA,TOKO,REST AREA/SPBU [RST],Permanen,SEJAJAR JALAN,OUTLET,BIG
56,LP010102056,PANJAITAN,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,PANJAITAN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
57,LP010102057,PRIO,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,PRIO,TOKO,PERKANTORAN [PKT],Permanen,SEJAJAR JALAN,OUTLET,BIG
58,LP010102058,Rina,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,Rina,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
59,LP010102059,ROM,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,ROM,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,SMALL
60,LP010102060,ROSMAWATI,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,ROSMAWATI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,SMALL
61,LP010102061,RUBIATI,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,RUBIATI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
62,LP010102062,RUDI,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,RUDI,TOKO,REST AREA/SPBU [RST],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
63,LP010102063,SIMANJUNTAK,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,Simanjuntak,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
64,LP010102064,SITUMORANG,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,SITUMORANG,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
65,LP010102065,SUGIANTO,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,SUGIANTO,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
66,LP010102066,SUMIYATI,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,SUMIYATI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
67,LP010102067,SUNGKOWO,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,SUNGKOWO,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
68,LP010102068,SUSANTI,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,SUSANTI,RUMAH MAKAN,PEMUKIMAN [PMK],Permanen,TUSUK SATE,OUTLET,BIG
69,LP010102069,WAHYUNI,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,Wahyuni,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
70,LP010102070,WIWIN,LPG,1,1,2,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,WIWIN,TOKO,PEMUKIMAN [PMK],Tidak Permanen,SEJAJAR JALAN,BELUM ADA,SMALL
71,LP010103071,ALYA,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,ALYA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
72,LP010103072,ANA,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,ANA,TOKO,PEMUKIMAN [PMK],Permanen,PEREMPATAN,OUTLET,BIG
73,LP010103073,ANDI,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,Andi,TOKO,SEKOLAH/UNIVERSITAS [SKL],Permanen,PEREMPATAN,OUTLET,BIG
74,LP010103074,ASTUTI,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,ASTUTI,TOKO,PEMUKIMAN [PMK],Tidak Permanen,SEJAJAR JALAN,OUTLET,SMALL
75,LP010103075,BASILIUS,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,basilius,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
76,LP010103076,BERKAT,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,Berkat,TOKO,PEMUKIMAN [PMK],Permanen,PEREMPATAN,OUTLET,BIG
77,LP010103077,DAFA,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,DAFA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
78,LP010103078,DUWUR,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,DUWUR,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
79,LP010103079,ENDANG,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,ENDANG,TOKO,PEMUKIMAN [PMK],Tidak Permanen,SEJAJAR JALAN,BELUM ADA,SMALL
80,LP010103080,FADIL,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,FADIL,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
81,LP010103081,FATMAWATI,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,FATMAWATI,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,OUTLET,SMALL
82,LP010103082,H.JAKRI,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,H.Jakri,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
83,LP010103083,IBU NUR,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,NUR,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
84,LP010103084,JUNAIDI,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,JUNAIDI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
85,LP010103085,KHOTIB,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,KHOTIB,TOKO,PEMUKIMAN [PMK],Permanen,PEREMPATAN,OUTLET,BIG
86,LP010103086,Lena,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,Lena,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
87,LP010103087,LUCKY,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,lucky,TOKO,SEKOLAH/UNIVERSITAS [SKL],Permanen,PEREMPATAN,OUTLET,SMALL
88,LP010103088,Markumi,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Non-Coverage,Markumi,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,BIG
89,LP010103089,MISRA,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,Misra,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,BELUM ADA,BIG
90,LP010103090,MURNI,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,Murni,TOKO,PEMUKIMAN [PMK],Permanen,PEREMPATAN,OUTLET,BIG
91,LP010103091,MUSA,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,MUSA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,BELUM ADA,BIG
92,LP010103092,ROSMINAH,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,ROSMINAH,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
93,LP010103093,SAIMAN,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,SAIMAN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
94,LP010103094,Sakim,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,Sakim,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,BELUM ADA,SMALL
95,LP010103095,Saniah,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,Saniah,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
96,LP010103096,SITI,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,SITI,TOKO,PEMUKIMAN [PMK],Tidak Permanen,SEJAJAR JALAN,OUTLET,SMALL
97,LP010103097,Susi,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,Susi,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
98,LP010103098,suyatmi,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,suyatmi,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
99,LP010103099,WIJI,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,WIJI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,PERUSAHAAN,SMALL
100,LP010103100,Yono,LPG,1,1,3,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,KELAWI,Coverage,Yono,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
101,LP010104101,AMEL,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,AMEL,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
102,LP010104102,ANSORI,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Non-Coverage,ANSORI,TOKO,PEMUKIMAN [PMK],Semi-Permanen,Sejajar Jalan,OUTLET,SMALL
103,LP010104103,ARI,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,ARI,TOKO,PASAR TRADISIONAL [PSR],Permanen,SEJAJAR JALAN,OUTLET,SMALL
104,LP010104104,AYU NING,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,AYU NING,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
105,LP010104105,AZZAM,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,AZZAM,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
106,LP010104106,BUNGSU STUDIO,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,anjar,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
107,LP010104107,CITRA,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,CITRA,TOKO,PEMUKIMAN [PMK],Tidak Permanen,SEJAJAR JALAN,OUTLET,SMALL
108,LP010104108,DAUD,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,DAUD,TOKO,PASAR TRADISIONAL [PSR],Permanen,SEJAJAR JALAN,OUTLET,BIG
109,LP010104109,DEDI,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,DEDI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
110,LP010104110,DEO,LPG,1,1,4,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Non-Coverage,DEO,TOKO,PASAR TRADISIONAL [PSR],Permanen,Sejajar Jalan,OUTLET,SMALL
